0.800000, 0, 1.000000
1.200000, 25000, 1.000000
2.200000, 50000, 1.000000
1.000000, 75000, 1.000000
1.600000, 100000, 1.000000
1.800000, 125000, 0.888372
2.200000, 150000, 0.789861
0.800000, 175000, 0.702925
1.400000, 200000, 0.626204
1.400000, 225000, 0.558498
1.600000, 250000, 0.498748
1.400000, 275000, 0.446019
1.400000, 300000, 0.399485
1.200000, 325000, 0.358420
0.400000, 350000, 0.322180
2.000000, 375000, 0.290198
1.000000, 400000, 0.261974
2.600000, 425000, 0.237066
0.600000, 450000, 0.215085
1.600000, 475000, 0.195687
1.400000, 500000, 0.178569
1.400000, 525000, 0.163461
1.200000, 550000, 0.150129
0.600000, 575000, 0.138364
0.400000, 600000, 0.127981
1.400000, 625000, 0.118818
1.200000, 650000, 0.110731
2.400000, 675000, 0.103595
1.800000, 700000, 0.097298
0.000000, 725000, 0.091740
0.600000, 750000, 0.086835
1.600000, 775000, 0.082507
0.800000, 800000, 0.078688
2.400000, 825000, 0.075317
1.400000, 850000, 0.072342
1.600000, 875000, 0.069717
2.400000, 900000, 0.067400
1.000000, 925000, 0.065355
2.600000, 950000, 0.063551
0.800000, 975000, 0.061959
3.200000, 1000000, 0.060554
1.800000, 1025000, 0.059313
1.800000, 1050000, 0.058219
0.600000, 1075000, 0.057253
2.000000, 1100000, 0.056401
1.000000, 1125000, 0.055649
1.400000, 1150000, 0.054985
3.400000, 1175000, 0.054399
1.000000, 1200000, 0.053882
1.200000, 1225000, 0.053426
0.200000, 1250000, 0.053024
1.800000, 1275000, 0.052668
1.200000, 1300000, 0.052355
1.000000, 1325000, 0.052078
1.400000, 1350000, 0.051834
2.200000, 1375000, 0.051618
0.600000, 1400000, 0.051428
